bench,class,latency_preserving,primary_metric,tool,variant,mode,fmax_mhz,fmax_is_lower_bound,min_period_ns,n_runs,n_met,cells_at_fmax,seq_at_fmax,area_at_fmax_um2,wirelength_um,power_mw,compile_seconds_at_fmax
r10_long_carry_chain,C - classical unbalanced pipeline,true,fmax,yosys,directive,off,,,,1,0,763,64,21241.3824,,37.199999999999996,2.0
r10_long_carry_chain,C - classical unbalanced pipeline,true,fmax,yosys,directive,on,166.7,,6.0,5,2,827,64,31754.8224,,31.6,2.0
r10_long_carry_chain,C - classical unbalanced pipeline,true,fmax,yosys,orig,off,,,,5,0,763,64,21241.3824,,82.8,2.0
r10_long_carry_chain,C - classical unbalanced pipeline,true,fmax,yosys,orig,on,166.7,,6.0,5,2,827,64,31754.8224,,31.6,2.0
r10_long_carry_chain,C - classical unbalanced pipeline,true,fmax,yosys,retimed,off,,,,5,0,854,96,24580.2816,,74.30000000000001,2.0
r10_long_carry_chain,C - classical unbalanced pipeline,true,fmax,yosys,retimed,on,166.7,yes,6.0,1,1,950,96,36149.2992,,33.2,3.0
r11_deep_retime_distance,C - retiming distance / effort limit,true,fmax,genus,directive,off,,,,5,0,5331,155,232153.48800724998,,1208.8000000000002,281.0
r11_deep_retime_distance,C - retiming distance / effort limit,true,fmax,genus,orig,off,,,,6,0,5828,96,253682.7015845,,1335.96,404.0
r11_deep_retime_distance,C - retiming distance / effort limit,true,fmax,genus,orig,on,,,,5,0,5331,155,232153.48800724998,,1208.8000000000002,284.0
r11_deep_retime_distance,C - retiming distance / effort limit,true,fmax,genus,retimed,off,,,,5,0,5368,96,236862.46800325,,1224.79,293.0
r11_deep_retime_distance,C - retiming distance / effort limit,true,fmax,openroad_syn,directive,unsupported,,,,5,0,2471,96,,,1556.88,3.0
r11_deep_retime_distance,C - retiming distance / effort limit,true,fmax,openroad_syn,orig,unsupported,,,,5,0,2471,96,,,1556.88,4.0
r11_deep_retime_distance,C - retiming distance / effort limit,true,fmax,openroad_syn,retimed,unsupported,,,,5,0,2055,96,,,772.04,3.0
r11_deep_retime_distance,C - retiming distance / effort limit,true,fmax,vivado,directive,on,,,,5,0,582,96,,,133.0,45.0
r11_deep_retime_distance,C - retiming distance / effort limit,true,fmax,vivado,orig,off,,,,5,0,582,96,,,133.0,57.0
r11_deep_retime_distance,C - retiming distance / effort limit,true,fmax,vivado,orig,on,,,,5,0,582,96,,,133.0,46.0
r11_deep_retime_distance,C - retiming distance / effort limit,true,fmax,vivado,retimed,off,,,,5,0,582,97,,,131.0,41.0
r11_deep_retime_distance,C - retiming distance / effort limit,true,fmax,yosys,directive,off,,,,1,0,2851,96,51119.3088,,1350.0,3.0
r11_deep_retime_distance,C - retiming distance / effort limit,true,fmax,yosys,directive,on,,,,5,0,2947,96,79840.0512,,2710.0,6.0
r11_deep_retime_distance,C - retiming distance / effort limit,true,fmax,yosys,orig,off,,,,5,0,2851,96,51119.3088,,1490.0,3.0
r11_deep_retime_distance,C - retiming distance / effort limit,true,fmax,yosys,orig,on,,,,5,0,2947,96,79840.0512,,2710.0,6.0
r11_deep_retime_distance,C - retiming distance / effort limit,true,fmax,yosys,retimed,off,,,,5,0,2873,96,48748.4928,,895.0,3.0
r11_deep_retime_distance,C - retiming distance / effort limit,true,fmax,yosys,retimed,on,,,,1,0,2969,96,68939.9424,,517.0,6.0
r12_wide_reduction_tree,C - classical unbalanced pipeline,true,fmax,genus,directive,off,724.6,,1.38,9,8,24,12,1694.36759675,,9.84258,22.0
r12_wide_reduction_tree,C - classical unbalanced pipeline,true,fmax,genus,orig,off,724.6,,1.38,9,8,23,10,1538.909848,,8.437109999999999,22.0
